Ref,Val,Package,PosX,PosY,Rot,Side
"R_d_in_r3_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.190000,-88.900000,180.000000,top
"R_d_in_ram_a_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-78.740000,180.000000,top
"R_d_in_ram_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",60.960000,-67.310000,0.000000,top
"R_d_in_ram_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-88.900000,180.000000,top
"R_d_in_read_reg_en_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.150000,-34.290000,0.000000,top
"R_d_in_temp_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.190000,-48.260000,180.000000,top
"R_d_in_write_reg_en_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.950000,-34.290000,0.000000,top
"R_in_acc_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.310000,-53.340000,0.000000,top
"R_in_acc_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-73.660000,0.000000,top
"R_in_bus1_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.990000,-88.900000,90.000000,top
"R_in_clk_manual_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",24.130000,-137.160000,0.000000,top
"R_in_iar_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.690000,-43.180000,0.000000,top
"R_in_iar_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.710000,-53.340000,0.000000,top
"R_in_ir_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.770000,-45.720000,0.000000,top
"R_in_ir_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-63.500000,0.000000,top
"R_in_is_bus1_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",45.450000,-81.280000,180.000000,top
"R_in_is_clk_external_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.910000,-139.700000,180.000000,top
"R_in_is_clk_high_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.910000,-144.780000,180.000000,top
"R_in_is_clk_low_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.910000,-149.860000,180.000000,top
"R_in_is_clk_manual_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.910000,-154.940000,180.000000,top
"R_in_is_clk_veryhigh_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.910000,-134.620000,180.000000,top
"R_in_manual_input_o_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",207.010000,-76.200000,0.000000,top
"R_in_manual_input_o_1","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",196.850000,-76.200000,0.000000,top
"R_in_manual_input_o_2","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.690000,-76.200000,0.000000,top
"R_in_manual_input_o_3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.530000,-76.200000,0.000000,top
"R_in_manual_input_o_4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.370000,-76.200000,0.000000,top
"R_in_manual_input_o_5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.210000,-76.200000,0.000000,top
"R_in_manual_input_o_6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.050000,-76.200000,0.000000,top
"R_in_manual_input_o_7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.890000,-76.200000,0.000000,top
"R_in_manual_input_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.050000,-55.880000,180.000000,top
"R_in_r0_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",62.230000,-71.120000,0.000000,top
"R_in_r0_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.110000,-63.500000,0.000000,top
"R_in_r1_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.370000,-77.470000,0.000000,top
"R_in_r1_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.110000,-73.660000,0.000000,top
"R_in_r2_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.940000,-72.390000,180.000000,top
"R_in_r2_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.110000,-83.820000,0.000000,top
"R_in_r3_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.590000,-63.500000,180.000000,top
"R_in_r3_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.110000,-93.980000,0.000000,top
"R_in_ram_a_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-83.820000,0.000000,top
"R_in_ram_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.310000,-63.500000,0.000000,top
"R_in_ram_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.670000,-93.980000,0.000000,top
"R_in_read_reg_en_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.990000,-30.480000,0.000000,top
"R_in_temp_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.110000,-53.340000,0.000000,top
"R_in_write_reg_en_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.330000,-30.480000,0.000000,top
"R_out_acc_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.250000,-115.570000,0.000000,top
"R_out_acc_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.250000,-123.190000,0.000000,top
"R_out_bus1_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.490000,-115.570000,0.000000,top
"R_out_can_read_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.670000,-29.940000,0.000000,top
"R_out_can_write_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.170000,-30.480000,0.000000,top
"R_out_clk_internal_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.250000,-151.130000,0.000000,top
"R_out_clkc_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-144.240000,180.000000,top
"R_out_clkr_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-149.320000,180.000000,top
"R_out_clkw_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-154.400000,180.000000,top
"R_out_flags_C_out_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.010000,-148.590000,0.000000,top
"R_out_flags_eq_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.490000,-148.590000,0.000000,top
"R_out_flags_gt_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.250000,-148.590000,0.000000,top
